基金号, 份额, 成本价, 今日价, 今日收益率, 今日收益, 总收益率, 总收益
008327, 10000.00, 1.0000, 1.1252, 6.86%, 722.58, 12.52%, 1252.00
汇总,,10000.00,11252.00,6.86%, 722.58, 12.52%, 1252.00
